"Location","Internal Medicine","Family Medicine/General Practice","Pediatrics","Obstetrics & Gynecology","Geriatrics","Total Primary Care"
"United States","202647","144393","90980","55305","1496","494821"
"Alabama","2276","1886","1078","659","12","5911"
"Alaska","216","618","146","98","","1078"
"Arizona","3450","2700","1566","1003","42","8761"
"Arkansas","958","1739","642","297","12","3648"
"California","22497","15521","10696","5983","127","54824"
"Colorado","2564","2889","1187","828","18","7486"
"Connecticut","3960","794","1365","1015","13","7147"
"Delaware","498","417","500","177","4","1596"
"District of Columbia","1637","340","861","418","7","3263"
"Florida","11892","8562","4790","2819","112","28175"
"Georgia","5088","3565","2514","1664","25","12856"
"Hawaii","780","513","330","305","7","1935"
"Idaho","444","1018","159","151","6","1778"
"Illinois","10133","6355","4031","2484","38","23041"
"Indiana","2651","3428","1342","851","23","8295"
"Iowa","1413","2376","707","354","17","4867"
"Kansas","1231","1829","707","431","7","4205"
"Kentucky","1989","1932","937","658","16","5532"
"Louisiana","2568","1822","1209","864","7","6470"
"Maine","819","1147","347","218","19","2550"
"Maryland","5780","1761","2320","1331","34","11226"
"Massachusetts","9304","2002","3251","1465","30","16052"
"Michigan","7749","6295","2762","2486","58","19350"
"Minnesota","3332","3590","1326","787","25","9060"
"Mississippi","1246","1139","538","419","3","3345"
"Missouri","4022","2880","1911","1122","45","9980"
"Montana","346","603","119","114","2","1184"
"Nebraska","908","1254","482","285","2","2931"
"Nevada","1453","886","444","341","7","3131"
"New Hampshire","879","649","335","224","6","2093"
"New Jersey","7140","2770","3243","1886","67","15106"
"New Mexico","1005","1166","552","295","5","3023"
"New York","21069","6744","8786","4844","83","41526"
"North Carolina","5169","4194","2642","1748","59","13812"
"North Dakota","381","655","115","69","7","1227"
"Ohio","8207","5590","4211","2307","99","20414"
"Oklahoma","1342","2323","735","526","12","4938"
"Oregon","2618","2060","828","632","14","6152"
"Pennsylvania","10916","7533","4185","2810","167","25611"
"Rhode Island","1490","444","554","296","6","2790"
"South Carolina","2221","2458","1230","803","18","6730"
"South Dakota","335","576","128","85","2","1126"
"Tennessee","3623","2519","1783","1053","13","8991"
"Texas","11126","9754","6430","4056","117","31483"
"Utah","983","1108","706","370","4","3171"
"Vermont","427","390","222","126","2","1167"
"Virginia","4450","3862","2337","1411","36","12096"
"Washington","3814","4640","1846","969","34","11303"
"West Virginia","1016","1290","404","264","10","2984"
"Wisconsin","3094","3398","1385","834","16","8727"
"Wyoming","138","409","56","70","1","674"
