"Location","Total Primary Care HPSA Designations","Population of Designated HPSAs","Percent of Need Met","Practitioners Needed to Remove HPSA Designation",Footnotes
"United States","7447","83711000","0.4616","14858","1"
"Alabama","104","2286895","0.6062","301"
"Alaska","301","214710","0.1731","58"
"Arizona","236","3185244","0.372","653"
"Arkansas","98","659587","0.5428","105"
"California","643","7800038","0.4563","1402"
"Colorado","120","1137825","0.3605","260"
"Connecticut","28","442478","0.0023","149"
"Delaware","11","249418","0.1703","74"
"District of Columbia","15","258715","0.6948","26"
"Florida","276","6302560","0.3039","1505"
"Georgia","243","3180524","0.372","673"
"Hawaii","31","519059","0.435","87"
"Idaho","99","527384","0.4593","96"
"Illinois","263","3303633","0.4957","534"
"Indiana","115","2093311","0.7177","193"
"Iowa","132","638024","0.4885","104"
"Kansas","184","780837","0.5199","121"
"Kentucky","191","1459320","0.5726","202"
"Louisiana","160","2381360","0.6645","256"
"Maine","73","96620","0.4585","18"
"Maryland","48","887614","0.5303","141"
"Massachusetts","65","514225","0.3836","108"
"Michigan","269","2948989","0.5071","482"
"Minnesota","181","845244","0.5573","116"
"Mississippi","153","1776047","0.5219","283"
"Missouri","327","1644535","0.1","491"
"Montana","142","422166","0.4173","78"
"Nebraska","85","44242","0.2849","9"
"Nevada","71","947994","0.4496","175"
"New Hampshire","29","155809","0.6756","17"
"New Jersey","37","29701","0.239","23"
"New Mexico","100","1046481","0.2921","239"
"New York","175","5018983","0.2928","1189"
"North Carolina","213","2807999","0.5342","416"
"North Dakota","91","224217","0.2994","49"
"Ohio","158","1781457","0.546","258"
"Oklahoma","183","1416305","0.399","289"
"Oregon","149","1109690","0.5748","157"
"Pennsylvania","143","495949","0.505","101"
"Rhode Island","13","151748","0.6751","17"
"South Carolina","101","1989344","0.6929","207"
"South Dakota","100","295847","0.3703","55"
"Tennessee","133","2361154","0.6743","259"
"Texas","424","7318705","0.5819","969"
"Utah","62","774928","0.6017","101"
"Vermont","15","13902","0.5653","2"
"Virginia","124","1995062","0.6635","205"
"Washington","203","2962657","0.3301","626"
"West Virginia","110","749250","0.4667","135"
"Wisconsin","110","1130750","0.5875","151"
"Wyoming","46","184414","0.545","26"
"American Samoa","2","55009","0.0545","17"
"Federated States of Micronesia","8","99673","0","34"
"Guam","4","71615","0.1447","21"
"Marshall Islands","2","53158","0","18"
"Northern Mariana Islands","2","53890","0.8181","3"
"Puerto Rico","39","1689201","0.0218","552"
"Republic of Palau","2","19907","0","7"
"U.S. Virgin Islands","5","105597","0.5812","15"
